state,x,y
Alabama,140,-80
Alaska,-200,-170
Arizona,-203,-40
Arkansas,63,-53
California,-297,13
Colorado,-112,20
Connecticut,297,85
Delaware,293,40
Florida,220,-150
Georgia,185,-75
Hawaii,-317,-150
Idaho,-210,122
Illinois,95,37
Indiana,138,35
Iowa,43,65
Kansas,-17,5
Kentucky,149,-10
Louisiana,75,-125
Maine,325,164
Maryland,288,27
Massachusetts,312,105
Michigan,153,95
Minnesota,32,135
Mississippi,100,-100
Missouri,60,6
Montana,-141,155
Nebraska,-35,55
Nevada,-250,56
New Hampshire,302,120
New Jersey,300,60
New Mexico,-125,-50
New York,245,98
North Carolina,239,-22
North Dakota,-38,158
Ohio,180,45
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,238,65
Rhode Island,318,95
South Carolina,218,-51
South Dakota,-35,105
Tennessee,140,-34
Texas,-38,-106
Utah,-189,34
Vermont,285,135
Virginia,243,5
Washington,-257,190
West Virginia,210,20
Wisconsin,83,113
Wyoming,-130,90
